A,B,C,URL,E,Trans_IP,IP,site,Trans_IP,Co_Code
0,0,2019,5,23,120000,51.*.16.36,-,51.109.16.36,GB
1,1,2019,5,23,25000,50.*.202.39,-,50.111.202.39,US
2,2,2019,5,23,223700,110.*.111.190,-,110.218.111.190,CN
3,3,2019,5,23,120000,202.*.239.17,-,202.244.239.17,JP
4,4,2019,5,23,35100,34.*.102.38,-,34.252.102.38,US
5,5,2019,5,23,120000,192.*.78.25,-,192.223.78.25,Unknown
6,6,2019,5,23,31000,103.*.72.54,-,103.93.72.54,Unknown
7,7,2019,5,23,223700,104.*.110.190,-,104.12.110.190,US
8,8,2019,5,23,120000,185.*.61.161,-,185.234.61.161,Unknown
9,9,2019,5,23,35100,18.*.215.84,-,18.20.215.84,US
10,10,2019,5,23,120000,217.*.184.38,-,217.166.184.38,NL
11,11,2019,5,23,24300,50.*.202.39,-,50.152.202.39,US
12,12,2019,5,23,25000,199.*.21.121,-,199.11.21.121,US
13,13,2019,5,23,35100,52.*.79.229,-,52.175.79.229,US
14,14,2019,5,23,120000,23.*.239.12,-,23.148.239.12,Unknown
15,15,2019,5,23,24300,199.*.21.121,-,199.86.21.121,US
16,16,2019,5,23,23700,50.*.202.39,-,50.144.202.39,US
17,17,2019,5,23,120000,144.*.217.54,-,144.196.217.54,US
18,18,2019,5,23,35100,52.*.161.133,-,52.209.161.133,US
